"Package","LibPath","Version","GithubRepo","GithubUsername","GithubRef","GithubSHA1"
"LandRCSAM","packages/x86_64-pc-linux-gnu/4.1/","0.0.2.0002","LandRCSAM","ianmseddy","HEAD","0e88ea8691331af351e563f02aae1912119eff24"
"later","packages/x86_64-pc-linux-gnu/4.1/","1.3.0",NA,NA,NA,NA
"latticeExtra","packages/x86_64-pc-linux-gnu/4.1/","0.6-29",NA,NA,NA,NA
"lava","packages/x86_64-pc-linux-gnu/4.1/","1.6.10",NA,NA,NA,NA
"lazyeval","packages/x86_64-pc-linux-gnu/4.1/","0.2.2",NA,NA,NA,NA
"LearnBayes","packages/x86_64-pc-linux-gnu/4.1/","2.15.1",NA,NA,NA,NA
"lifecycle","packages/x86_64-pc-linux-gnu/4.1/","1.0.1",NA,NA,NA,NA
"lintr","packages/x86_64-pc-linux-gnu/4.1/","2.0.1",NA,NA,NA,NA
"listenv","packages/x86_64-pc-linux-gnu/4.1/","0.8.0",NA,NA,NA,NA
"lme4","packages/x86_64-pc-linux-gnu/4.1/","1.1-27.1",NA,NA,NA,NA
"lobstr","packages/x86_64-pc-linux-gnu/4.1/","1.1.1",NA,NA,NA,NA
"logging","packages/x86_64-pc-linux-gnu/4.1/","0.10-108",NA,NA,NA,NA
"lubridate","packages/x86_64-pc-linux-gnu/4.1/","1.8.0",NA,NA,NA,NA
"lwgeom","packages/x86_64-pc-linux-gnu/4.1/","0.2-8",NA,NA,NA,NA
"magrittr","packages/x86_64-pc-linux-gnu/4.1/","2.0.2",NA,NA,NA,NA
"map","packages/x86_64-pc-linux-gnu/4.1/","0.0.3","map","PredictiveEcology","development","9b401b88ac4d2ceef6de821d718f66a525599d74"
"maptools","packages/x86_64-pc-linux-gnu/4.1/","1.1-2",NA,NA,NA,NA
"MatrixModels","packages/x86_64-pc-linux-gnu/4.1/","0.5-0",NA,NA,NA,NA
"matrixStats","packages/x86_64-pc-linux-gnu/4.1/","0.61.0",NA,NA,NA,NA
"mclust","packages/x86_64-pc-linux-gnu/4.1/","5.4.7",NA,NA,NA,NA
"memoise","packages/x86_64-pc-linux-gnu/4.1/","2.0.1",NA,NA,NA,NA
"merTools","packages/x86_64-pc-linux-gnu/4.1/","0.5.2",NA,NA,NA,NA
"microbenchmark","packages/x86_64-pc-linux-gnu/4.1/","1.4.8",NA,NA,NA,NA
"mime","packages/x86_64-pc-linux-gnu/4.1/","0.12",NA,NA,NA,NA
"minqa","packages/x86_64-pc-linux-gnu/4.1/","1.2.4",NA,NA,NA,NA
"misc3d","packages/x86_64-pc-linux-gnu/4.1/","0.9-1",NA,NA,NA,NA
"mockery","packages/x86_64-pc-linux-gnu/4.1/","0.4.2",NA,NA,NA,NA
"ModelMetrics","packages/x86_64-pc-linux-gnu/4.1/","1.2.2.2",NA,NA,NA,NA
"multcomp","packages/x86_64-pc-linux-gnu/4.1/","1.4-17",NA,NA,NA,NA
